;dates;fibers;signal_to_noise;radial_velocity;julian_day
127;2010-08-08;WAVE;170;-33.203 ± 0.0007;
128;2010-08-08;WAVE;157;-33.215 ± 0.0006;2455417.49741071
129;2010-08-08;WAVE;173;-33.207 ± 0.0007;2455417.53373212
130;2010-08-08;WAVE;167;-33.218 ± 0.0007;2455417.57029659
131;2010-08-08;WAVE;160;-33.225 ± 0.0006;2455417.60674532
132;2010-08-08;WAVE;176;-33.239 ± 0.0010;2455417.64336767
133;2010-08-09;WAVE;114;-33.237 ± 0.0011;2455418.42140695
134;2010-08-09;WAVE;104;-33.306 ± 0.0103;2455418.42434692
135;2010-08-09;WAVE; 17;-33.241 ± 0.0008;2455418.45895523
136;2010-08-09;WAVE;133;-33.240 ± 0.0009;2455418.49261442
137;2010-08-09;WAVE;126;-33.242 ± 0.0007;2455418.52903996
138;2010-08-09;WAVE;151;-33.243 ± 0.0007;2455418.56546549
139;2010-08-09;WAVE;150;-33.247 ± 0.0007;2455418.60411337
140;2010-08-09;WAVE;150;-33.188 ± 0.0011;2455418.64070095
141;2010-08-10;WAVE;102;-33.184 ± 0.0011;2455419.34174456
142;2010-08-10;WAVE;103;-33.207 ± 0.0123;2455419.34508964
143;2010-08-10;WAVE; 16;-33.181 ± 0.0009;
144;2010-08-10;WAVE;128;-33.190 ± 0.0017;
145;2010-08-10;WAVE; 70;-33.170 ± 0.0008;2455419.45910018
146;2010-08-10;WAVE;134;-33.179 ± 0.0009;
147;2010-08-10;WAVE;123;-33.184 ± 0.0013;
148;2010-08-10;WAVE; 89;-33.174 ± 0.0008;2455419.56966144
149;2010-08-10;WAVE;139;-33.178 ± 0.0006;2455419.60585544
150;2010-08-10;WAVE;171;-33.126 ± 0.0008;2455419.64218833
151;2010-08-11;WAVE;142;-33.125 ± 0.0008;2455420.37525817
152;2010-08-11;WAVE;146;-33.152 ± 0.0035;2455420.37788562
153;2010-08-11;WAVE; 36;-33.136 ± 0.0026;2455420.41436895
154;2010-08-11;WAVE; 46;-33.128 ± 0.0008;
155;2010-08-11;WAVE;138;-33.137 ± 0.0007;
156;2010-08-11;WAVE;155;-33.129 ± 0.0008;2455420.53906274
157;2010-08-11;WAVE;148;-33.127 ± 0.0007;2455420.57569653
158;2010-08-11;WAVE;159;-33.175 ± 0.0012;2455420.61235347
159;2010-08-12;WAVE; 98;-33.171 ± 0.0012;2455421.38298215
160;2010-08-12;WAVE; 96;-33.173 ± 0.0043;2455421.38658187
161;2010-08-12;WAVE; 32;-56.808 ± 0.5592;2455421.42598196
162;2010-08-12;WAVE; 15;-33.177 ± 0.0017;2455421.47195645
163;2010-08-12;WAVE; 69;-33.182 ± 0.0020;2455421.48379731
164;2010-08-12;WAVE; 59;-33.187 ± 0.0018;2455421.52056995
165;2010-08-12;WAVE; 66;-33.185 ± 0.0012;2455421.56733151
166;2010-08-12;WAVE; 96;-33.235 ± 0.0019;2455421.61705617
167;2010-08-13;WAVE; 64;-33.234 ± 0.0015;2455422.35602727
168;2010-08-13;WAVE; 81;-33.237 ± 0.0011;2455422.35936076
169;2010-08-13;WAVE;106;-33.241 ± 0.0010;2455422.39556621
170;2010-08-13;WAVE;117;-33.247 ± 0.0008;2455422.43943405
171;2010-08-13;WAVE;138;-33.259 ± 0.0021;
172;2010-08-13;WAVE; 58;-33.244 ± 0.0008;2455422.51171762
173;2010-08-13;WAVE;139;-33.256 ± 0.0007;2455422.54789991
174;2010-08-13;WAVE;151;-33.258 ± 0.0010;2455422.58403589
175;2010-08-13;WAVE;111;;
